City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodinsk,58.6881,99.1844,62.38,55,77,4.07,RU,1628352766
1,hithadhoo,-0.6,73.0833,82.44,67,100,4.47,MV,1628352766
2,upernavik,72.7868,-56.1549,41.14,93,100,9.22,GL,1628352767
3,bismarck,46.8083,-100.7837,73.87,65,20,3.44,US,1628352602
4,avarua,-21.2078,-159.775,73.45,83,20,4.61,CK,1628352768
5,leningradskiy,69.3833,178.4167,37.47,91,100,8.68,RU,1628352768
6,dikson,73.5069,80.5464,49.64,70,13,9.71,RU,1628352768
7,oktyabrskoye,43.0645,44.7417,82.54,74,75,6.71,RU,1628352769
8,carnarvon,-24.8667,113.6333,66.27,90,75,3.44,AU,1628352769
9,hobart,-42.8794,147.3294,38.05,87,33,1.99,AU,1628352622
10,lazurne,46.084,32.5295,75.65,53,100,18.79,UA,1628352770
11,nanortalik,60.1432,-45.2371,48.7,75,100,13.6,GL,1628352770
12,northam,51.0333,-4.2167,64.02,87,62,23.06,GB,1628352770
13,severo-kurilsk,50.6789,156.125,53.2,86,97,14.12,RU,1628352770
14,bud,39.447,-86.1758,83.43,70,47,7.65,US,1628352771
15,saint-philippe,-21.3585,55.7679,69.39,76,57,13.71,RE,1628352771
16,taltal,-25.4,-70.4833,57.56,73,21,5.39,CL,1628352772
17,codrington,-38.2667,141.9667,47.23,83,90,5.97,AU,1628352773
18,arraial do cabo,-22.9661,-42.0278,73.26,56,75,20.71,BR,1628352773
19,hermanus,-34.4187,19.2345,55.9,77,100,2.66,ZA,1628352773
20,geraldton,-28.7667,114.6,66.61,88,75,14.97,AU,1628352774
21,upata,8.0086,-62.3989,86.2,77,50,1.43,VE,1628352774
22,atuona,-9.8,-139.0333,77.47,80,92,18.28,PF,1628352774
23,oussouye,12.485,-16.5469,82.18,75,95,11.63,SN,1628352775
24,albany,42.6001,-73.9662,85.8,70,100,2.62,US,1628352775
25,new norfolk,-42.7826,147.0587,37.71,83,52,2.77,AU,1628352775
26,saskylakh,71.9167,114.0833,46.72,84,19,7.87,RU,1628352776
27,kapaa,22.0752,-159.319,79.12,76,40,1.01,US,1628352776
28,east london,-33.0153,27.9116,63.28,72,67,8.99,ZA,1628352776
29,norman wells,65.282,-126.8329,43.05,85,100,6.44,CA,1628352777
30,ketchikan,55.3422,-131.6461,55.87,94,40,4.61,US,1628352778
31,georgetown,5.4112,100.3354,84.88,80,20,0.0,MY,1628352485
32,hamilton,39.1834,-84.5333,84.78,64,1,1.01,US,1628352483
33,cherskiy,68.75,161.3,48.88,59,100,5.5,RU,1628352779
34,san patricio,28.017,-97.5169,90.88,54,7,11.34,US,1628352779
35,choma,-16.8065,26.9531,66.36,19,0,5.99,ZM,1628352779
36,iqaluit,63.7506,-68.5145,38.07,98,100,12.95,CA,1628352681
37,tuatapere,-46.1333,167.6833,34.83,94,100,1.61,NZ,1628352780
38,qaqortoq,60.7167,-46.0333,52.3,84,100,0.49,GL,1628352780
39,helong,42.5397,128.9972,63.41,94,46,3.98,CN,1628352780
40,adolfo lopez mateos,28.4667,-107.3,74.93,47,1,5.99,MX,1628352781
41,busselton,-33.65,115.3333,59.09,92,100,14.94,AU,1628352781
42,antofagasta,-23.65,-70.4,60.08,63,12,7.76,CL,1628352782
43,teluknaga,-6.0989,106.6381,82.44,78,20,9.22,ID,1628352784
44,prado,-17.3411,-39.2208,73.92,66,74,7.74,BR,1628352784
45,puerto ayora,-0.7393,-90.3518,76.96,83,81,8.99,EC,1628352785
46,yumen,40.2833,97.2,73.35,30,90,8.84,CN,1628352785
47,buraydah,26.326,43.975,100.94,11,93,3.67,SA,1628352584
48,ishigaki,24.3448,124.1572,80.8,90,100,20.27,JP,1628352785
49,muskogee,35.5834,-95.3336,89.35,70,1,9.22,US,1628352786
50,longyearbyen,78.2186,15.6401,48.04,76,75,12.66,SJ,1628352786
51,castro,-24.7911,-50.0119,64.98,63,98,7.85,BR,1628352726
52,viedma,-40.8135,-62.9967,56.8,33,100,17.45,AR,1628352518
53,airai,-8.9266,125.4092,53.47,80,27,2.82,TL,1628352787
54,ushuaia,-54.8,-68.3,33.46,86,75,19.57,AR,1628352590
55,camana,-16.6228,-72.7111,64.4,73,56,7.45,PE,1628352787
56,sartell,45.6216,-94.2069,70.14,97,90,3.44,US,1628352770
57,cape town,-33.9258,18.4232,57.88,86,90,1.01,ZA,1628352744
58,drochia,48.035,27.8161,75.0,48,0,6.51,MD,1628352788
59,tasiilaq,65.6145,-37.6368,46.56,93,99,5.61,GL,1628352788
60,amreli,21.6167,71.2333,82.71,70,51,14.34,IN,1628352788
61,punta arenas,-53.15,-70.9167,35.71,87,40,28.77,CL,1628352786
62,iglesias,39.3114,8.535,86.63,23,0,7.34,IT,1628352789
63,ixtapa,20.7,-105.2,84.22,74,20,0.0,MX,1628352789
64,mataura,-46.1927,168.8643,34.48,98,100,1.36,NZ,1628352790
65,nikolskoye,59.7035,30.7861,62.49,99,100,7.76,RU,1628352790
66,turbat,26.0023,63.044,91.71,48,9,5.93,PK,1628352790
67,eyl,7.9803,49.8164,77.34,76,76,26.33,SO,1628352791
68,tuktoyaktuk,69.4541,-133.0374,41.41,85,100,12.57,CA,1628352791
69,hohhot,40.8106,111.6522,74.44,25,99,2.13,CN,1628352792
70,brae,60.3964,-1.353,60.71,91,100,22.3,GB,1628352792
71,grand gaube,-20.0064,57.6608,72.37,68,2,7.0,MU,1628352793
72,vaini,-21.2,-175.2,66.36,82,20,6.91,TO,1628352793
73,college,64.8569,-147.8028,58.59,93,90,4.61,US,1628352694
74,taoudenni,22.6783,-3.9836,116.29,7,7,8.68,ML,1628352794
75,hofn,64.2539,-15.2082,55.63,85,100,8.57,IS,1628352794
76,coahuayana,18.7333,-103.6833,80.08,61,69,0.58,MX,1628352794
77,pevek,69.7008,170.3133,39.58,85,37,6.08,RU,1628352795
78,cayenne,4.9333,-52.3333,89.64,75,40,4.0,GF,1628352795
79,rikitea,-23.1203,-134.9692,73.83,80,4,9.08,PF,1628352796
80,hilo,19.7297,-155.09,73.13,90,90,5.75,US,1628352773
81,pisco,-13.7,-76.2167,63.01,72,75,6.91,PE,1628352797
82,samarai,-10.6167,150.6667,77.02,87,100,15.39,PG,1628352797
83,salalah,17.0151,54.0924,78.89,89,75,6.91,OM,1628352797
84,constitucion,-35.3333,-72.4167,56.03,66,66,10.69,CL,1628352798
85,lata,40.1629,-8.3327,79.03,37,5,12.64,PT,1628352798
86,sioux lookout,50.1001,-91.917,61.18,57,90,8.3,CA,1628352799
87,jamestown,42.097,-79.2353,81.72,65,1,8.05,US,1628352799
88,asau,46.4333,26.4,77.4,48,41,3.13,RO,1628352799
89,mar del plata,-38.0023,-57.5575,57.22,100,75,12.66,AR,1628352800
90,irbeyskoye,55.6428,95.4522,60.6,90,11,2.57,RU,1628352800
91,portland,45.5234,-122.6762,73.11,71,40,1.01,US,1628352633
92,paysandu,-32.3214,-58.0756,77.61,55,1,10.0,UY,1628352801
93,hasaki,35.7333,140.8333,79.2,88,100,11.07,JP,1628352801
94,faya,18.3851,42.4509,66.72,67,66,9.1,SA,1628352802
95,nagyecsed,47.8655,22.3916,84.29,29,5,5.68,HU,1628352802
96,kodiak,57.79,-152.4072,54.91,88,75,0.0,US,1628352802
97,chicama,-7.8447,-79.1469,63.14,65,56,8.72,PE,1628352803
98,alice springs,-23.7,133.8833,40.55,48,0,5.75,AU,1628352786
99,media luna,20.1419,-77.435,85.48,66,49,4.21,CU,1628352803
100,port alfred,-33.5906,26.891,61.52,78,63,13.8,ZA,1628352804
101,dingle,10.9995,122.6711,76.82,88,18,2.59,PH,1628352804
102,kaitangata,-46.2817,169.8464,37.0,92,100,5.44,NZ,1628352804
103,lebu,-37.6167,-73.65,51.35,65,19,17.16,CL,1628352805
104,pankovka,58.5,31.1999,68.13,91,81,5.99,RU,1628352805
105,taksimo,56.3444,114.8794,60.51,87,100,3.33,RU,1628352805
106,kualakapuas,-3.0091,114.3876,78.96,89,97,3.44,ID,1628352806
107,maumere,-8.6199,122.2111,75.47,78,73,4.61,ID,1628352806
108,saint george,37.1041,-113.5841,84.67,17,1,1.39,US,1628352807
109,kindu,-2.95,25.95,80.96,60,57,3.0,CD,1628352807
110,esperance,-33.8667,121.9,57.16,83,100,18.39,AU,1628352808
111,rundu,-17.9333,19.7667,78.62,10,0,5.75,NA,1628352808
112,conneaut,41.9476,-80.5542,84.69,59,49,7.0,US,1628352808
113,comodoro rivadavia,-45.8667,-67.5,51.66,37,26,25.32,AR,1628352809
114,qaanaaq,77.484,-69.3632,41.83,72,91,5.73,GL,1628352809
115,eatonton,33.3268,-83.3885,87.58,63,30,3.29,US,1628352784
116,iralaya,15.0,-83.2333,86.09,80,100,10.56,HN,1628352810
117,barrow,71.2906,-156.7887,35.62,81,90,0.0,US,1628352810
118,moron,-34.6534,-58.6198,77.02,63,11,5.01,AR,1628352810
